condition,outer_fold,group_id,subject_id,target,selected_mean,random_mean,enrichment,status,n_blocks,scalar_count,n_repeats,n_targets,target_set,is_synthetic,synthetic_notice,protocol_id
non_speaking,0,MOCK_G01,MOCK_S01,jaw,-0.00015895445438008897,-7.15794678745601e-05,-8.737498650552887e-05,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,left_brow,4.1612675602966665e-05,0.00025359668296193806,-0.0002119840073589714,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,left_cheek,-0.00021207154303093333,-0.00013359389999926998,-7.847764303166335e-05,evaluable,3.0,14.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,left_eyelid,-0.0008585979278566332,-0.0004917807903365254,-0.0003668171375201078,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,mouth,-5.655801138723334e-05,-0.00014313876452653858,8.658075313930523e-05,evaluable,3.0,18.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,right_brow,-0.00015820174680114115,-0.00048128610062720767,0.0003230843538260665,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,right_cheek,-0.0007584570887419333,-0.0006066941351105036,-0.00015176295363142974,evaluable,3.0,38.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,right_eyelid,0.00022923559482533737,0.00010685093298608102,0.00012238466183925635,evaluable,3.0,24.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,jaw,-7.702296111899088e-05,-0.00010319920947702649,2.617624835803561e-05,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,left_brow,9.278291885239994e-05,0.00026564154535734186,-0.0001728586265049419,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,left_cheek,-0.0003867578508516712,-0.00024786000122928726,-0.00013889784962238392,evaluable,3.0,14.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,left_eyelid,-0.0007669950713880667,-0.0003888040304138662,-0.0003781910409742005,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,mouth,9.556625319396667e-05,5.611193555495337e-06,8.995505963847134e-05,evaluable,3.0,18.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,right_brow,-0.0003260256761272,-0.0005295090165714797,0.00020348334044427972,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,right_cheek,-0.000710522150852,-0.0005373973649953756,-0.00017312478585662444,evaluable,3.0,38.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,right_eyelid,0.00030503467467862854,6.624965230219653e-05,0.00023878502237643202,evaluable,3.0,24.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,jaw,-5.183303815925092e-05,-0.00016337162269325253,0.00011153858453400161,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,left_brow,8.616681009830001e-05,0.00023384686151394074,-0.00014768005141564073,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,left_cheek,-0.0005610839987836334,-0.0003461092043443693,-0.00021497479443926404,evaluable,3.0,14.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,left_eyelid,-0.0006289265527195,-0.0002623640314504069,-0.00036656252126909307,evaluable,3.0,20.0,1000.0,,,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
