subject_id,group_id,outer_fold,condition,target,model,error,residual_scale,coordinates_key,n_points,n_valid,support_sha256,metric_name,status,reason,self_scalar_count,added_blocks,added_scalar_count,is_synthetic,synthetic_notice,protocol_id,n_targets
MOCK_S01,MOCK_G01,0,speaking,left_brow,persistence,0.0063168213065815,,MOCK_S01_speaking_left_brow,3.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180.0,0.0,0.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
MOCK_S01,MOCK_G01,0,speaking,left_brow,self,0.006,0.006,MOCK_S01_speaking_left_brow,3.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180.0,0.0,0.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
MOCK_S01,MOCK_G01,0,speaking,left_brow,full,0.00545,0.00545,MOCK_S01_speaking_left_brow,3.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180.0,105.0,780.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
MOCK_S01,MOCK_G01,0,speaking,left_brow,pcmci,0.0064,0.0064,MOCK_S01_speaking_left_brow,3.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180.0,3.0,20.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
MOCK_S01,MOCK_G01,0,speaking,right_brow,persistence,0.0064868412013445,,MOCK_S01_speaking_right_brow,3.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180.0,0.0,0.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
MOCK_S01,MOCK_G01,0,speaking,right_brow,self,0.0063,0.0063,MOCK_S01_speaking_right_brow,3.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180.0,0.0,0.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
MOCK_S01,MOCK_G01,0,speaking,right_brow,full,0.0065073238863271,0.0065073238863271,MOCK_S01_speaking_right_brow,3.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180.0,105.0,780.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
MOCK_S01,MOCK_G01,0,speaking,right_brow,pcmci,0.0063092569599879,0.0063092569599879,MOCK_S01_speaking_right_brow,3.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180.0,3.0,20.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
MOCK_S01,MOCK_G01,0,speaking,left_eyelid,persistence,0.0064918298198183,,MOCK_S01_speaking_left_eyelid,4.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240.0,0.0,0.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
MOCK_S01,MOCK_G01,0,speaking,left_eyelid,self,0.0065999999999999,0.0066,MOCK_S01_speaking_left_eyelid,4.0,900.0,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240.0,0.0,0.0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1,
