condition,target,model,n_subjects,n_groups,n_missing,median,mean,n_positive,fraction_positive,ci_low,ci_high,ci_status,estimand,is_synthetic,synthetic_notice,protocol_id
non_speaking,jaw,full,30,15,0,0.00791346004213915,0.007963013972173439,30,1.0,0.0074995389789401495,0.008471005023713049,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,pcmci,30,15,0,0.00790034472777005,0.007966327999401843,30,1.0,0.0075891023993679,0.0079875959769533,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,persistence,30,15,0,0.0067709371390702,0.006771304714436242,30,1.0,0.00674459793111945,0.0067882921131419,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,self,30,15,0,0.0085211680012089,0.008512680819803593,30,1.0,0.00837521133586675,0.0086950863520471,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,full,30,15,0,0.00584019508259835,0.005890417184563571,30,1.0,0.0054873209267373,0.006387882150780649,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,pcmci,30,15,0,0.0062322195426206,0.0059527445163086055,30,1.0,0.0055907567741022,0.0064092569599879,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,persistence,30,15,0,0.006423378579938,0.0064211619168111295,30,1.0,0.0064115087209609505,0.006461097462667944,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,self,30,15,0,0.00642116800120895,0.006412680819803596,30,1.0,0.00627521133586675,0.0065950863520471,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,full,30,15,0,0.0071705586960739,0.0070682547926681945,30,1.0,0.006539778786324,0.0074509501852881,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,pcmci,30,15,0,0.0072268905907305996,0.0072647717025160355,30,1.0,0.0069927899678897,0.00759556436333865,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,persistence,30,15,0,0.0066197637643889504,0.0066095143228139,30,1.0,0.0065740576298377006,0.0066490977062051496,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,self,30,15,0,0.0076211680012089,0.007612680819803594,30,1.0,0.00747521133586675,0.0077950863520471,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_eyelid,full,30,15,0,0.0064598761641308,0.00642265848309553,30,1.0,0.0059719011425504,0.0067406064125421,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_eyelid,pcmci,30,15,0,0.006405271236025099,0.00648980629168097,30,1.0,0.00612316419544455,0.0066182309532137,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_eyelid,persistence,30,15,0,0.00650620387556035,0.006503380896722005,30,1.0,0.0064717450026032,0.00653541709811285,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_eyelid,self,30,15,0,0.00702116800120895,0.007012680819803597,30,1.0,0.00687521133586675,0.0071950863520471,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,mouth,full,30,15,0,0.0077059748751582,0.00769806397416246,30,1.0,0.0073141293668287505,0.00810699627826165,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,mouth,pcmci,30,15,0,0.00800992653180565,0.007750585752164055,30,1.0,0.0073231638752187505,0.008297606395469299,nominal_fixed_oof_group,error,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
