path,sha256,bytes,metric_name,config_sha256,seed,git_sha,code_sha256,is_synthetic,synthetic_notice,protocol_id
analysis_report_draft.md,344690b7bf2ed154af709f2042372e481eab8bda0703c2fb90cc9a131a9139fc,12812,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
bootstrap_subject_indices.npy,2ba9c58e40d9fad1aae73ed40f12e101bf7786b9f0b906209e21f030ad6afcdd,2400128,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
captions.json,4c93302e4451097b32871b58b86323a520d0ac190534c90fb8b5eba5e2778139,9729,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
figures/N_F1_landscape.png,b4102fa037f7eb2d5234351ec834cead9477c0b5d96f83d7ef1126b7daa212e2,439047,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
figures/N_F2_commonality.png,894f0a3f52a33b2f074bf59a8799b6dc76fd6e141f2e2efe93c8be095480dde3,500388,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
figures/N_F2_subject_non_speaking.png,89f892c937f54a32efef74b689a81c67b96b3a970d608b038f820c25806d4515,448447,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
figures/N_F2_subject_speaking.png,512cd7c44dd5ca05e500a193ab063d4f31d494bbcd05ba1d40ac77461c4a471f,448787,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
figures/N_F3_absolute_non_speaking.png,08e2309c4960b57a38806ac345cf19d521f86f74a60ede6675d30a8ce9f81d8b,548068,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
figures/N_F3_absolute_speaking.png,190b7d5b0f1f61015b9c930bf64992dafe08ce54c4d2b85084388609f2adcf08,542163,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
figures/N_F3_centered.png,307cd21d6745f43baa4253739d9e9f154a03cbca3ea4c93c7d54208e81ff7998,226640,displacement_mean_euclidean_error,5cd79c78f7c2526315805ee30f071309d32623097a289d3c326047de422293e8,20260911,5465796462eab4acd62979537547bf2706a94f0e,89b450661c99d8107d3ab65d2aa7d134b5b9fe6428a670c63c47e257d139c750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
