is_synthetic,synthetic_notice,condition,metric_name,metric_direction,median,mean,ci_low,ci_high,confidence_level,subject_count,evaluable_unit_count
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,full,acceleration_rmse,lower_is_better,1.261121625,1.26212078125,1.2332995,1.29253825,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,pcmci,acceleration_rmse,lower_is_better,1.23748475,1.24058821875,1.2041975,1.26737875,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,persistence,acceleration_rmse,lower_is_better,1.521772875,1.52113640625,1.49011375,1.54748075,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,self,acceleration_rmse,lower_is_better,1.37274775,1.372922375,1.34095475,1.40241675,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,full,position_rmse,lower_is_better,0.863855875,0.86220325,0.83107625,0.89074275,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,pcmci,position_rmse,lower_is_better,0.842334875,0.8423839375,0.8126085,0.878835,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,persistence,position_rmse,lower_is_better,1.124512125,1.12397853125,1.0991425,1.15223675,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,self,position_rmse,lower_is_better,0.974519125,0.97370565625,0.9442555,1.0010835,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,full,temporal_correlation,higher_is_better,0.716270625,0.7154125,0.703776,0.72256525,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,pcmci,temporal_correlation,higher_is_better,0.730780125,0.73033621875,0.72460225,0.737057,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,persistence,temporal_correlation,higher_is_better,0.534067625,0.53547784375,0.53080575,0.54717525,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,self,temporal_correlation,higher_is_better,0.634916,0.635884,0.62674975,0.6446985,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,full,velocity_rmse,lower_is_better,1.062452375,1.06312921875,1.03386925,1.08833675,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,pcmci,velocity_rmse,lower_is_better,1.042259625,1.04081990625,1.0127645,1.06926875,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,persistence,velocity_rmse,lower_is_better,1.322958,1.3240330625,1.29436675,1.3587595,0.95,8,32
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,self,velocity_rmse,lower_is_better,1.175451625,1.17152421875,1.138585,1.20784775,0.95,8,32
