subject_id,group_id,outer_fold,is_synthetic,synthetic_notice,protocol_id
MOCK_S01,MOCK_G01,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S02,MOCK_G01,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S03,MOCK_G02,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S04,MOCK_G02,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S05,MOCK_G03,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S06,MOCK_G03,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S07,MOCK_G04,1,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S08,MOCK_G04,1,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S09,MOCK_G05,1,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S10,MOCK_G05,1,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S11,MOCK_G06,1,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S12,MOCK_G06,1,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S13,MOCK_G07,2,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S14,MOCK_G07,2,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S15,MOCK_G08,2,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S16,MOCK_G08,2,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S17,MOCK_G09,2,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S18,MOCK_G09,2,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S19,MOCK_G10,3,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S20,MOCK_G10,3,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S21,MOCK_G11,3,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S22,MOCK_G11,3,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S23,MOCK_G12,3,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S24,MOCK_G12,3,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S25,MOCK_G13,4,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S26,MOCK_G13,4,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S27,MOCK_G14,4,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S28,MOCK_G14,4,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S29,MOCK_G15,4,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S30,MOCK_G15,4,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
