subject_id,group_id,outer_fold,condition,original_seconds,after_calibration_seconds,after_qc_seconds,after_boundary_history_seconds,common_support_seconds,missing_fraction,available_targets,observed_displacement_amplitude,amplitude_target,provenance,is_synthetic,synthetic_notice,protocol_id
MOCK_S01,MOCK_G01,0,speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.024315629722516288,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,non_speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.024054223636374147,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S02,MOCK_G01,0,speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.023608188344518506,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S02,MOCK_G01,0,non_speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.02416477157759254,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S03,MOCK_G02,0,speaking,90.0,80.0,72.0,60.0,30.0,0.04,8,0.024526787182699388,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S03,MOCK_G02,0,non_speaking,90.0,80.0,72.0,60.0,30.0,0.04,8,0.024625678886328457,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S04,MOCK_G02,0,speaking,90.0,80.0,72.0,60.0,30.0,0.045,8,0.024040606709858477,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S04,MOCK_G02,0,non_speaking,90.0,80.0,72.0,60.0,30.0,0.045,8,0.02330236444127955,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S05,MOCK_G03,0,speaking,90.0,80.0,72.0,60.0,30.0,0.05,8,0.024136971147715087,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S05,MOCK_G03,0,non_speaking,90.0,80.0,72.0,60.0,30.0,0.05,8,0.024981714913252,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S06,MOCK_G03,0,speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.024175492237100388,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S06,MOCK_G03,0,non_speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.024364684361551557,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S07,MOCK_G04,1,speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.024288340874428865,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S07,MOCK_G04,1,non_speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.023703093564187504,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S08,MOCK_G04,1,speaking,90.0,80.0,72.0,60.0,30.0,0.04,8,0.02369156793718685,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S08,MOCK_G04,1,non_speaking,90.0,80.0,72.0,60.0,30.0,0.04,8,0.02413252438427678,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S09,MOCK_G05,1,speaking,90.0,80.0,72.0,60.0,30.0,0.045,8,0.02445646602659703,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S09,MOCK_G05,1,non_speaking,90.0,80.0,72.0,60.0,30.0,0.045,8,0.024631202459619327,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S10,MOCK_G05,1,speaking,90.0,80.0,72.0,60.0,30.0,0.05,8,0.0245216412517412,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S10,MOCK_G05,1,non_speaking,90.0,80.0,72.0,60.0,30.0,0.05,8,0.02393236737583211,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S11,MOCK_G06,1,speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.024594159126670175,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S11,MOCK_G06,1,non_speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.024518742778901582,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S12,MOCK_G06,1,speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.024549572355633157,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S12,MOCK_G06,1,non_speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.02368901178443725,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S13,MOCK_G07,2,speaking,90.0,80.0,72.0,60.0,30.0,0.04,8,0.025015664184093175,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S13,MOCK_G07,2,non_speaking,90.0,80.0,72.0,60.0,30.0,0.04,8,0.024682734395602743,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S14,MOCK_G07,2,speaking,90.0,80.0,72.0,60.0,30.0,0.045,8,0.023939032276779,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S14,MOCK_G07,2,non_speaking,90.0,80.0,72.0,60.0,30.0,0.045,8,0.024215269371344047,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S15,MOCK_G08,2,speaking,90.0,80.0,72.0,60.0,30.0,0.05,8,0.025054804278062198,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S15,MOCK_G08,2,non_speaking,90.0,80.0,72.0,60.0,30.0,0.05,8,0.024424042794236604,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S16,MOCK_G08,2,speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.024023317033001042,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S16,MOCK_G08,2,non_speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.024015304576249254,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S17,MOCK_G09,2,speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.024027199607022636,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S17,MOCK_G09,2,non_speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.024350993651578334,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S18,MOCK_G09,2,speaking,90.0,80.0,72.0,60.0,30.0,0.04,8,0.023935964604904922,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S18,MOCK_G09,2,non_speaking,90.0,80.0,72.0,60.0,30.0,0.04,8,0.024466481238719626,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S19,MOCK_G10,3,speaking,90.0,80.0,72.0,60.0,30.0,0.045,8,0.02486609517038723,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S19,MOCK_G10,3,non_speaking,90.0,80.0,72.0,60.0,30.0,0.045,8,0.023901430475706194,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S20,MOCK_G10,3,speaking,90.0,80.0,72.0,60.0,30.0,0.05,8,0.023983661624682004,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S20,MOCK_G10,3,non_speaking,90.0,80.0,72.0,60.0,30.0,0.05,8,0.024534936277820957,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S21,MOCK_G11,3,speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.023942430410518727,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S21,MOCK_G11,3,non_speaking,90.0,80.0,72.0,60.0,30.0,0.03,8,0.02438242118086216,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S22,MOCK_G11,3,speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.02474347526597607,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S22,MOCK_G11,3,non_speaking,90.0,80.0,72.0,60.0,30.0,0.034999999999999996,8,0.024600695045261193,jaw,simulated_QC_counts_not_video_measurements,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
