subject_id,group_id,outer_fold,condition,target,model,error,residual_scale,coordinates_key,n_points,n_valid,support_sha256,metric_name,status,reason,self_scalar_count,added_blocks,added_scalar_count,is_synthetic,synthetic_notice,protocol_id
MOCK_S01,MOCK_G01,0,speaking,left_brow,persistence,0.006316821306581562,,MOCK_S01_speaking_left_brow,3,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180,0,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,left_brow,self,0.006000000000000001,0.006,MOCK_S01_speaking_left_brow,3,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180,0,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,left_brow,full,0.005450000000000001,0.00545,MOCK_S01_speaking_left_brow,3,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180,105,780,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,left_brow,pcmci,0.0064,0.0064,MOCK_S01_speaking_left_brow,3,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180,3,20,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,right_brow,persistence,0.006486841201344573,,MOCK_S01_speaking_right_brow,3,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180,0,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,right_brow,self,0.006300000000000001,0.0063,MOCK_S01_speaking_right_brow,3,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180,0,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,right_brow,full,0.006507323886327108,0.006507323886327107,MOCK_S01_speaking_right_brow,3,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180,105,780,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,right_brow,pcmci,0.00630925695998792,0.006309256959987919,MOCK_S01_speaking_right_brow,3,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,180,3,20,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,left_eyelid,persistence,0.006491829819818326,,MOCK_S01_speaking_left_eyelid,4,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240,0,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,left_eyelid,self,0.006599999999999999,0.0066,MOCK_S01_speaking_left_eyelid,4,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240,0,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,left_eyelid,full,0.006868367684143113,0.006868367684143113,MOCK_S01_speaking_left_eyelid,4,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240,105,750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,left_eyelid,pcmci,0.0057962751889349285,0.005796275188934929,MOCK_S01_speaking_left_eyelid,4,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240,3,20,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,right_eyelid,persistence,0.006552977335335576,,MOCK_S01_speaking_right_eyelid,4,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240,0,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,right_eyelid,self,0.006899999999999999,0.0069,MOCK_S01_speaking_right_eyelid,4,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240,0,0,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,right_eyelid,full,0.00647700800725388,0.00647700800725388,MOCK_S01_speaking_right_eyelid,4,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240,105,750,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
MOCK_S01,MOCK_G01,0,speaking,right_eyelid,pcmci,0.005608506377889621,0.005608506377889622,MOCK_S01_speaking_right_eyelid,4,900,047b3e189ba903ae23b99980ceb550decad5e53bcbddf8e02301da3031b8ecc7,displacement_mean_euclidean_error,evaluable,,240,3,24,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
