output_id,relative_path,sha256,source_artifacts,config_sha256,seed,metric,aggregation_unit,code_version,schema_version,is_synthetic
CAPTIONS,artifacts/mock_analysis/captions.json,af93a2b53eb576e0b1650324892e463070a741fff6718a5b6f8fb323cdea193f,"[""mock_primary_config.json""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,,caption_contract,issue23-analysis-v2,2,True
F01,artifacts/mock_analysis/figures/F01_primary_condition_comparison.png,b5d58a092aa6c3c715fa409b5004a8e1bf86f4f830a66dd454bdc85682fe4b91,"[""F01_primary_condition_comparison_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,outer_test_subject_plus_summary,issue23-analysis-v2,2,True
F01,artifacts/mock_analysis/figures/F01_primary_condition_comparison.svg,8570bbe3be81bb2dfb87889a537a5248f98867431cf8ef853ae61745d5a172f1,"[""F01_primary_condition_comparison_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,outer_test_subject_plus_summary,issue23-analysis-v2,2,True
F01,artifacts/mock_analysis/tables/F01_primary_condition_comparison_source.csv,6cec1b2dbc6bdbd84ad60e8e194a897e02fcfa288f5f5bde7864898d2dadb838,"[""mock_metrics.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,outer_test_subject_plus_summary,issue23-analysis-v2,2,True
F02,artifacts/mock_analysis/figures/F02_subject_paired_pcmci_vs_self.png,8070a952bf09feaf402d0d786a2ce519231faf8644609064464707733a52ec71,"[""F02_subject_paired_pcmci_vs_self_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,outer_test_subject_exact_pair,issue23-analysis-v2,2,True
F02,artifacts/mock_analysis/figures/F02_subject_paired_pcmci_vs_self.svg,3e7ee1cc3987a52c625a34482281116ebcf804ea18ea10fb804cf315a8660506,"[""F02_subject_paired_pcmci_vs_self_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,outer_test_subject_exact_pair,issue23-analysis-v2,2,True
F02,artifacts/mock_analysis/tables/F02_subject_paired_pcmci_vs_self_source.csv,a818f1493b12649ce0a0325efcc4445a73fb27377292c1b7e1ae476d121e6699,"[""mock_metrics.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,outer_test_subject_exact_pair,issue23-analysis-v2,2,True
F03,artifacts/mock_analysis/figures/F03_incremental_gain_by_region.png,41e5e65e7e8e06f7eda22315eb350d84940e1b380025cd96d5d520a7c67a0ddb,"[""F03_incremental_gain_by_region_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,target_region_outer_test_subject,issue23-analysis-v2,2,True
F03,artifacts/mock_analysis/figures/F03_incremental_gain_by_region.svg,8942cad90a4c54d786768b1f68ccb21d47a56d03574c16e8bd68f8a085edbd35,"[""F03_incremental_gain_by_region_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,target_region_outer_test_subject,issue23-analysis-v2,2,True
F03,artifacts/mock_analysis/tables/F03_incremental_gain_by_region_source.csv,32130f0b5ce83f2d4255e04683a714c53733af4ca34c39b2471caae28a60f305,"[""mock_metrics.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,target_region_outer_test_subject,issue23-analysis-v2,2,True
F04,artifacts/mock_analysis/figures/F04_lag_response_curve.png,932b2f25fce5a25237f3997b9481536a6c1991a4d9cb7e35b6fe7c0eafb0df77,"[""F04_lag_response_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,complete_grid_target_fold_then_subject,issue23-analysis-v2,2,True
F04,artifacts/mock_analysis/figures/F04_lag_response_curve.svg,e246332d217c55857cb5edaa42ffd67acf050244134ba337c066d3914bbbe3b7,"[""F04_lag_response_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,complete_grid_target_fold_then_subject,issue23-analysis-v2,2,True
F04,artifacts/mock_analysis/tables/F04_lag_response_source.csv,af37508a7d964e8c48faa5912093d36db11d3e26558a91adf40165b93d0f6545,"[""mock_lag_response.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,complete_grid_target_fold_then_subject,issue23-analysis-v2,2,True
F05,artifacts/mock_analysis/figures/F05_falsification_effect_comparison.png,771715ad14e8d1ad39b9f5a63392111a8fe42286daa0b5cf5dffe076f2c7bf50,"[""F05_falsification_effect_comparison_source.csv"",""T07_falsification_distribution.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,outer_test_subject,issue23-analysis-v2,2,True
F05,artifacts/mock_analysis/figures/F05_falsification_effect_comparison.svg,3f0f6665ba39124361d75498cb8b52676a33669e47777767269f48a016c3a1f4,"[""F05_falsification_effect_comparison_source.csv"",""T07_falsification_distribution.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,outer_test_subject,issue23-analysis-v2,2,True
F05,artifacts/mock_analysis/tables/F05_falsification_effect_comparison_source.csv,e2eea4a831a600d6a2ff8d04f05918ebb570cbbecc96d43a32e8577df253483b,"[""mock_metrics.csv"",""mock_null_metrics.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,outer_test_subject,issue23-analysis-v2,2,True
F06,artifacts/mock_analysis/figures/F06_performance_sparsity.png,7b32367511e65f31578a6690f2ce47ddec1a0cb1bf0ccb34cf7444d36645a36c,"[""F06_performance_sparsity_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,target_region_outer_test_subject,issue23-analysis-v2,2,True
F06,artifacts/mock_analysis/figures/F06_performance_sparsity.svg,ad64370c39f40b482b32c6446b6e53c130d54a83502a4cde669bf961f59e852c,"[""F06_performance_sparsity_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,target_region_outer_test_subject,issue23-analysis-v2,2,True
F06,artifacts/mock_analysis/tables/F06_performance_sparsity_source.csv,90c8b8eb097db35ac6f17517ea751bb8f74d818c5f465d6d93d265815795809d,"[""mock_metrics.csv"",""mock_feature_counts.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,velocity_rmse,target_region_outer_test_subject,issue23-analysis-v2,2,True
F07,artifacts/mock_analysis/figures/F07_region_edge_stability_heatmap.png,1f81c6f7e327829565f629054243ee6e31641e2506a62a8c35040f58aa3e5356,"[""F07_region_edge_stability_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,,region_relation_opportunity,issue23-analysis-v2,2,True
F07,artifacts/mock_analysis/figures/F07_region_edge_stability_heatmap.svg,14302710e1bed4d52b8e379eb8066eecf1ecb68ae2c30c034d0e031cb4767176,"[""F07_region_edge_stability_source.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,,region_relation_opportunity,issue23-analysis-v2,2,True
F07,artifacts/mock_analysis/tables/F07_region_edge_stability_source.csv,aad9291ad4f36e317eec62b981716b4772aa2837f2ba01a1da2e53d8264ec318,"[""mock_edge_stability.csv""]",d047174c6c0df08f21f33ea9ab13232fb79db093234af2b2e7e6ee5d3ede1676,20260908,,region_relation_opportunity,issue23-analysis-v2,2,True
